"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @terikahkelunga: <U+0915><U+0940><U+0932> <U+0920><U+0941><U+0915> <U+091A><U+0941><U+0915><U+0940> <U+0939><U+0948> <U+0924><U+093E><U+092C><U+0942><U+0924> <U+092E><U+0947><U+0902> <U+092C><U+0938> <U+0915><U+093C><U+092C><U+094D><U+0930> <U+092E><U+0947><U+0902> <U+0927><U+0915><U+094D><U+0915><U+093E> <U+0926><U+0947><U+0928><U+093E> <U+092C><U+093E><U+0915><U+093C><U+0940> <U+0939><U+0948>..!! #upelections2017 #UP<U+0915><U+0947>NAMO https://t.co/DC4tguuchD",FALSE,0,NA,2017-03-01 07:38:16,FALSE,NA,"836843010100969472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahul10dec",16,TRUE,FALSE,NA,NA
"RT @BJP4UP: <U+0938><U+092A><U+093E> <U+0930><U+093E><U+091C> <U+092E><U+0947><U+0902> <U+0905><U+0935><U+0948><U+0927> <U+0916><U+0928><U+0928> <U+0938><U+0947> <U+0916><U+0924><U+0930><U+093E> <U+092C><U+0928><U+0940> <U+0918><U+093E><U+0918><U+0930><U+093E><U+0964>  #upelections2017 https://t.co/S10iY0w7UE",FALSE,0,NA,2017-03-01 07:38:01,FALSE,NA,"836842948172066817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhruvbhim",106,TRUE,FALSE,NA,NA
"RT @RadhamohanBJP: <U+0906><U+091C><U+092E><U+0917><U+0922><U+093C> <U+0935><U+093F><U+0927><U+093E><U+0928><U+0938><U+092D><U+093E>, #<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+0915><U+0947> <U+0928><U+0925><U+0941><U+092A><U+0941><U+0930> <U+0917><U+093E><U+0901><U+0935> <U+092E><U+0947><U+0902> <U+0915><U+093E><U+0930><U+094D><U+092F><U+0915><U+0930><U+094D><U+0924><U+093E><U+0913><U+0902> <U+090F><U+0935><U+0902> <U+0917><U+094D><U+0930><U+093E><U+092E><U+0940><U+0923><U+094B><U+0902> <U+0915><U+0947> <U+0938><U+093E><U+0925><U+0964> #upelections2017 #UP<U+0915><U+0947>NAMO https://t<U+2026>",FALSE,0,NA,2017-03-01 07:37:55,FALSE,NA,"836842923211763713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siddharth_bth",12,TRUE,FALSE,NA,NA
"RT @terikahkelunga: <U+0915><U+0940><U+0932> <U+0920><U+0941><U+0915> <U+091A><U+0941><U+0915><U+0940> <U+0939><U+0948> <U+0924><U+093E><U+092C><U+0942><U+0924> <U+092E><U+0947><U+0902> <U+092C><U+0938> <U+0915><U+093C><U+092C><U+094D><U+0930> <U+092E><U+0947><U+0902> <U+0927><U+0915><U+094D><U+0915><U+093E> <U+0926><U+0947><U+0928><U+093E> <U+092C><U+093E><U+0915><U+093C><U+0940> <U+0939><U+0948>..!! #upelections2017 #UP<U+0915><U+0947>NAMO https://t.co/DC4tguuchD",FALSE,0,NA,2017-03-01 07:37:39,FALSE,NA,"836842855884861441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Drvineetgarg65",16,TRUE,FALSE,NA,NA
"RT @RadhamohanBJP: <U+0906><U+091C><U+092E><U+0917><U+0922><U+093C> <U+091C><U+093F><U+0932><U+093E>, #<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+0915><U+0947> <U+0938><U+0917><U+0921><U+093C><U+0940> <U+0935><U+093F><U+0927><U+093E><U+0928><U+0938><U+092D><U+093E> <U+0915><U+093E><U+0930><U+094D><U+092F><U+093E><U+0932><U+092F> <U+092E><U+0947><U+0902> <U+0915><U+093E><U+0930><U+094D><U+092F><U+0915><U+0930><U+094D><U+0924><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0938><U+093E><U+0925> <U+092C><U+0948><U+0920><U+0915> <U+0915><U+0930><U+0924><U+0947> <U+0939><U+0941><U+090F><U+0964> #upelections2017 #UP<U+0915><U+0947>NAMO h<U+2026>",FALSE,0,NA,2017-03-01 07:37:36,FALSE,NA,"836842844941877254",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siddharth_bth",10,TRUE,FALSE,NA,NA
"RT @BJP4UP: <U+0930><U+093E><U+0939><U+0941><U+0932> <U+0928><U+0947> <U+0916><U+0941><U+0926> <U+092E><U+093E><U+0928> <U+0932><U+0940> <U+0917><U+0920><U+092C><U+0902><U+0927><U+0928> <U+0915><U+0940> <U+0939><U+093E><U+0930><U+0964> #Upelections2017 https://t.co/tl0SNhVpg0",FALSE,0,NA,2017-03-01 07:37:13,FALSE,NA,"836842748145721344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaurabhSingh",628,TRUE,FALSE,NA,NA
"RT @BJP4UP: <U+0930><U+093E><U+0939><U+0941><U+0932> <U+0928><U+0947> <U+0916><U+0941><U+0926> <U+092E><U+093E><U+0928> <U+0932><U+0940> <U+0917><U+0920><U+092C><U+0902><U+0927><U+0928> <U+0915><U+0940> <U+0939><U+093E><U+0930><U+0964> #Upelections2017 https://t.co/tl0SNhVpg0",FALSE,0,NA,2017-03-01 07:36:53,FALSE,NA,"836842664838508545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ISHWARLALSAHU4",628,TRUE,FALSE,NA,NA
"<U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+0940><U+092F> <U+0905><U+0927><U+094D><U+092F><U+0915><U+094D><U+0937> <U+0936><U+094D><U+0930><U+0940> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+092F><U+093E><U+0926><U+0935> <U+091C><U+0940> <U+092A><U+0925><U+0930><U+0926><U+0947><U+0935><U+093E>, <U+0926><U+0947><U+0935><U+0930><U+093F><U+092F><U+093E> <U+0915><U+0940> <U+091C><U+0928><U+0938><U+092D><U+093E> <U+092E><U+0947><U+0902> @yadavakhilesh #KaamBoltaHai #upelections2017 https://t.co/Mr6a2PJ7LD",FALSE,1,NA,2017-03-01 07:36:28,FALSE,NA,"836842559087468544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samajwadi_hum",0,FALSE,FALSE,NA,NA
"RT @rishibagree: This pic aptly describes how Media is Ignoring Modi Tsunami in #UPelections2017 &amp; concentrating on some random manufacture<U+2026>",FALSE,0,NA,2017-03-01 07:36:02,FALSE,NA,"836842447888134146",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vmlverma23",31,TRUE,FALSE,NA,NA
"RT @terikahkelunga: <U+0915><U+0940><U+0932> <U+0920><U+0941><U+0915> <U+091A><U+0941><U+0915><U+0940> <U+0939><U+0948> <U+0924><U+093E><U+092C><U+0942><U+0924> <U+092E><U+0947><U+0902> <U+092C><U+0938> <U+0915><U+093C><U+092C><U+094D><U+0930> <U+092E><U+0947><U+0902> <U+0927><U+0915><U+094D><U+0915><U+093E> <U+0926><U+0947><U+0928><U+093E> <U+092C><U+093E><U+0915><U+093C><U+0940> <U+0939><U+0948>..!! #upelections2017 #UP<U+0915><U+0947>NAMO https://t.co/DC4tguuchD",FALSE,0,NA,2017-03-01 07:35:25,FALSE,NA,"836842295685234689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhaartiSays",16,TRUE,FALSE,NA,NA
