"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @Abhi_376: #Dear
@yadavakhilesh ji <U+0905><U+092D><U+0940> <U+091A><U+0941><U+0928><U+093E><U+0935> <U+092A><U+0942><U+0930><U+094D><U+0923> <U+0930><U+0941><U+092A> <U+0938><U+0947> <U+0916><U+0924><U+094D><U+092E> <U+0928> <U+0939><U+0941><U+0906><U+0964>
<U+0905><U+092A><U+0928><U+0947> <U+092E><U+0902><U+0924><U+094D><U+0930><U+0940><U+092F><U+094B> <U+0915><U+0947> <U+0917><U+0932><U+0947> <U+092E><U+0947> <U+092A><U+091F><U+094D><U+091F><U+093E> <U+0915><U+0938> <U+0915><U+0947> <U+0930><U+0916><U+094D><U+0916><U+0947><U+0902><U+0964>
<U+092A><U+0924><U+094D><U+0930><U+0915><U+093E><U+0930> <U+0915><U+094B> <U+091C><U+093F><U+0902><U+0926><U+093E> <U+091C><U+0932><U+093E><U+0928><U+0947><U+2026>"	FALSE	0	NA	2017-02-13 08:55:08	FALSE	NA	"831064150180773888"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sachanuj"	46	TRUE	FALSE	NA	NA
"RT @Anshu_Vats1: @yadavakhilesh <U+0939><U+092E><U+093E><U+0930><U+093E> <U+0924><U+094B> <U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948> <U+091C><U+0940>.Here again I am shying..kindly remind this word in your mind..<ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>.@rajnikantmisra<U+2026>"	FALSE	0	NA	2017-02-13 08:55:04	FALSE	NA	"831064134204600320"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rajeevk48"	3	TRUE	FALSE	NA	NA
"RT @sush091979: 10 youngsters back from d US with lessons from Hillary Clinton's campaign r managing @yadavakhilesh's campaign<ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
Good that h<U+2026>"	FALSE	0	NA	2017-02-13 08:54:50	FALSE	NA	"831064073596968962"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"biswajitroy2009"	49	TRUE	FALSE	NA	NA
"RT @jpsin1: @yadavakhilesh  <U+092D><U+0948><U+092F><U+093E> <U+0906><U+092A><U+0915><U+094B> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+092C><U+0927><U+093E><U+0908> <U+092D><U+0932><U+093E> <U+092F><U+0947> <U+092D><U+0940> <U+0915><U+094B><U+0908> <U+092C><U+093E><U+0924> <U+0939><U+0941><U+0908> <U+0915><U+0940> <U+0915><U+094B><U+0908> <U+092E><U+0939><U+093F><U+0932><U+093E> <U+0915><U+0940> <U+0907><U+0924><U+0928><U+0940> <U+0939><U+093F><U+092E><U+094D><U+092E><U+0924> <U+0915><U+093F> <U+0935><U+0939> <U+0915><U+093F><U+0938><U+0940> <U+0938><U+092A><U+093E><U+0908><U+092A><U+0930> <U+092C><U+0932><U+093E><U+0924><U+094D><U+0915><U+093E><U+0930> <U+0915><U+093E> <U+0907><U+0932><U+094D><U+091C><U+093E><U+092E><U+2026>"	FALSE	0	NA	2017-02-13 08:54:48	FALSE	NA	"831064066298834944"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"SubhashChaudhry"	9	TRUE	FALSE	NA	NA
"<U+0930><U+094B><U+092E> <U+0930><U+094B><U+092E> <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+0939><U+0942><U+0901> <U+092E><U+0948><U+0902> <U+0906><U+092A><U+0915><U+093E> @yadavakhilesh <U+0939><U+0942><U+0902> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+0928><U+0947> <U+0915><U+093E><U+092E> <U+0928><U+0939><U+0940> <U+0915><U+093E><U+0930><U+0928><U+093E><U+092E><U+0947> <U+0915><U+093F><U+092F><U+0947> <U+0938><U+0939><U+0940> <U+0915><U+0939><U+093E><U+0901> <U+0939><U+0948> <U+0915><U+094B><U+0908> <U+092E><U+093E><U+0908> <U+0915><U+093E> <U+0932><U+093E><U+0932> <U+0939><U+0948> <U+091C><U+094B> <U+0938><U+0921><U+093C><U+0915> <U+092A><U+0930> <U+091C><U+0939><U+093E><U+091C> <U+0909><U+0924><U+093E><U+0930> <U+0926><U+0947>"	FALSE	0	NA	2017-02-13 08:54:47	FALSE	NA	"831064063215939584"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Avanendra_Yadav"	0	FALSE	FALSE	NA	NA
"RT @sush091979: 10 youngsters back from d US with lessons from Hillary Clinton's campaign r managing @yadavakhilesh's campaign<ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
Good that h<U+2026>"	FALSE	0	NA	2017-02-13 08:54:35	FALSE	NA	"831064013861576705"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"boytoy0001"	49	TRUE	FALSE	NA	NA
"RT @4ushashishekhar: When @yadavakhilesh says #kaamboltahai he actually means murders,rape,lawlessness n how his govt n party shelter crimi<U+2026>"	FALSE	0	NA	2017-02-13 08:54:28	FALSE	NA	"831063982719041536"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"nisha_gor"	12	TRUE	FALSE	NA	NA
"RT @jpsin1: @yadavakhilesh  <U+092D><U+0948><U+092F><U+093E> <U+0906><U+092A><U+0915><U+094B> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+092C><U+0927><U+093E><U+0908> <U+092D><U+0932><U+093E> <U+092F><U+0947> <U+092D><U+0940> <U+0915><U+094B><U+0908> <U+092C><U+093E><U+0924> <U+0939><U+0941><U+0908> <U+0915><U+0940> <U+0915><U+094B><U+0908> <U+092E><U+0939><U+093F><U+0932><U+093E> <U+0915><U+0940> <U+0907><U+0924><U+0928><U+0940> <U+0939><U+093F><U+092E><U+094D><U+092E><U+0924> <U+0915><U+093F> <U+0935><U+0939> <U+0915><U+093F><U+0938><U+0940> <U+0938><U+092A><U+093E><U+0908><U+092A><U+0930> <U+092C><U+0932><U+093E><U+0924><U+094D><U+0915><U+093E><U+0930> <U+0915><U+093E> <U+0907><U+0932><U+094D><U+091C><U+093E><U+092E><U+2026>"	FALSE	0	NA	2017-02-13 08:54:25	FALSE	NA	"831063971167760384"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"narendrapjoshi"	9	TRUE	FALSE	NA	NA
"RT @mediacrooks: In the middle of elections.. @yadavakhilesh's MLA Arun Verma arrested for murder... No wonder his footsie @SardesaiRajdeep<U+2026>"	FALSE	0	NA	2017-02-13 08:54:24	FALSE	NA	"831063965983608832"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vivekashenoy"	35	TRUE	FALSE	NA	NA
"RT @Anshu_Vats1: @yadavakhilesh <U+0939><U+092E><U+093E><U+0930><U+093E> <U+0924><U+094B> <U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948> <U+091C><U+0940>.Here again I am shying..kindly remind this word in your mind..<ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>.@rajnikantmisra<U+2026>"	FALSE	0	NA	2017-02-13 08:54:21	FALSE	NA	"831063955116290048"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"NitinUploader"	3	TRUE	FALSE	NA	NA
