"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ptshrikant: <U+0917><U+094B><U+0930><U+0916><U+092A><U+0941><U+0930> <U+0915><U+0947> <U+0930><U+094B><U+0921> <U+0936><U+094B> <U+092E><U+0947><U+0902> @BJP4India <U+0915><U+0947> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+0940><U+092F> <U+0905><U+0927><U+094D><U+092F><U+0915><U+094D><U+0937> <U+0936><U+094D><U+0930><U+0940> @AmitShah <U+0915><U+0947> <U+0938><U+094D><U+0935><U+093E><U+0917><U+0924> <U+092E><U+0947><U+0902> <U+0909><U+092E><U+0921><U+093C><U+093E> <U+0935><U+093F><U+0936><U+093E><U+0932> <U+091C><U+0928>-<U+0938><U+0948><U+0932><U+093E><U+092C> @BJP4UP #Vote4BJP h<U+2026>",FALSE,0,NA,2017-03-02 07:38:22,FALSE,NA,"837205423350558722",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prakashpandya7",103,TRUE,FALSE,NA,NA
"RT @AtifBjp: Here is the clear msg that @narendramodi govt is fully commited to
SABKA SATH SABKA VIKAS
@AmitShah @BJP4India @ManojTiwariMP<U+2026>",FALSE,0,NA,2017-03-02 07:38:20,FALSE,NA,"837205414529785856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","priyasarasijan",22,TRUE,FALSE,NA,NA
"RT @AtifBjp: Here is the clear msg that @narendramodi govt is fully commited to
SABKA SATH SABKA VIKAS
@AmitShah @BJP4India @ManojTiwariMP<U+2026>",FALSE,0,NA,2017-03-02 07:38:09,FALSE,NA,"837205368673468421",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bhonsor_toka",22,TRUE,FALSE,NA,NA
"RT @BJP4UP: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0915><U+0947> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+0940><U+092F> <U+0905><U+0927><U+094D><U+092F><U+0915><U+094D><U+0937> <U+0936><U+094D><U+0930><U+0940> @AmitShah <U+0906><U+091C> <U+0917><U+094B><U+0930><U+0916><U+092A><U+0941><U+0930> <U+092E><U+0947><U+0902> <U+0930><U+094B><U+0921> <U+0936><U+094B> <U+0915><U+0930><U+0947><U+0902><U+0917><U+0947><U+0964> <U+0909><U+092E><U+0921><U+093C> <U+0930><U+0939><U+093E> <U+0939><U+0948> <U+091C><U+0928><U+0938><U+0948><U+0932><U+093E><U+092C><U+0964> https://t.co/Fs4r5ph69T",FALSE,0,NA,2017-03-02 07:37:54,FALSE,NA,"837205305960316933",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vishal2621",17,TRUE,FALSE,NA,NA
"RT @ptshrikant: <U+0917><U+094B><U+0930><U+0916><U+092A><U+0941><U+0930> <U+0915><U+0947> <U+0930><U+094B><U+0921> <U+0936><U+094B> <U+092E><U+0947><U+0902> @BJP4India <U+0915><U+0947> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+0940><U+092F> <U+0905><U+0927><U+094D><U+092F><U+0915><U+094D><U+0937> <U+0936><U+094D><U+0930><U+0940> @AmitShah <U+0915><U+0947> <U+0938><U+094D><U+0935><U+093E><U+0917><U+0924> <U+092E><U+0947><U+0902> <U+0909><U+092E><U+0921><U+093C><U+093E> <U+0935><U+093F><U+0936><U+093E><U+0932> <U+091C><U+0928>-<U+0938><U+0948><U+0932><U+093E><U+092C> @BJP4UP #Vote4BJP h<U+2026>",FALSE,0,NA,2017-03-02 07:37:48,FALSE,NA,"837205281826304001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anki4949",103,TRUE,FALSE,NA,NA
"RT @AtifBjp: Here is the clear msg that @narendramodi govt is fully commited to
SABKA SATH SABKA VIKAS
@AmitShah @BJP4India @ManojTiwariMP<U+2026>",FALSE,0,NA,2017-03-02 07:37:35,FALSE,NA,"837205228348809216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rohitagarwal86",22,TRUE,FALSE,NA,NA
"@BJP4India @amitshah @narendramodi @ananthkumar @mansukhmandaviya https://t.co/zOJwyEKlmz",FALSE,0,"BJP4India",2017-03-02 07:37:24,FALSE,NA,"837205181481762816","207809313","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","captsunilsharma",0,FALSE,FALSE,NA,NA
"RT @abhilash7774211: <U+092F><U+0941><U+0935><U+093E><U+0913> <U+0915><U+094B> <U+0930><U+094B><U+091C><U+0917><U+093E><U+0930> <U+0926><U+0947><U+0928><U+0947> <U+0935><U+093E><U+0932><U+093E> <U+092C><U+091C><U+091F> @ChouhanShivraj @poonam_mahajan @NandKumarSinghC @AmitShah @narendramodi @nstomar @vdsha<U+2026>",FALSE,0,NA,2017-03-02 07:37:02,FALSE,NA,"837205088116559874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandeepkalmodi",6,TRUE,FALSE,NA,NA
"@BJP4India @ShahnawazBJP @narendramodi @AmitShah @JPNadda hello<ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",FALSE,0,"BJP4India",2017-03-02 07:36:57,FALSE,"836576509984915458","837205069107953665","207809313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amitswa11523136",0,FALSE,FALSE,NA,NA
"RT @ptshrikant: <U+0917><U+094B><U+0930><U+0916><U+092A><U+0941><U+0930> <U+0915><U+0947> <U+0930><U+094B><U+0921> <U+0936><U+094B> <U+092E><U+0947><U+0902> @BJP4India <U+0915><U+0947> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+0940><U+092F> <U+0905><U+0927><U+094D><U+092F><U+0915><U+094D><U+0937> <U+0936><U+094D><U+0930><U+0940> @AmitShah <U+0915><U+0947> <U+0938><U+094D><U+0935><U+093E><U+0917><U+0924> <U+092E><U+0947><U+0902> <U+0909><U+092E><U+0921><U+093C><U+093E> <U+0935><U+093F><U+0936><U+093E><U+0932> <U+091C><U+0928>-<U+0938><U+0948><U+0932><U+093E><U+092C> @BJP4UP #Vote4BJP h<U+2026>",FALSE,0,NA,2017-03-02 07:36:47,FALSE,NA,"837205025466298368",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","vaagshrimanju",103,TRUE,FALSE,NA,NA
