"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I urge people of Manipur to uproot the corrupt Congress government so that the state can walk on the path of progress and development.",FALSE,712,"AmitShah",2017-03-01 14:30:57,FALSE,"836946619308322817","836946866612883456","1447949844","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",201,FALSE,FALSE,NA,NA
"Wherever Congress has ruled, it has become synonymous with corruption. Right from Kashmir to Kanyakumari, states ha<U+2026> https://t.co/moF49MCSMG",FALSE,1301,NA,2017-03-01 14:29:58,TRUE,NA,"836946619308322817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",326,FALSE,FALSE,NA,NA
"Addressed a public meeting in<U+00A0>Ukhrul (Manipur). https://t.co/eDSUf0Xz1e",FALSE,1792,NA,2017-03-01 09:07:33,FALSE,NA,"836865481575399425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",394,FALSE,FALSE,NA,NA
"Tarak Mehta ji will always be remembered for his rich contribution to society and the laughter he gave to millions. Om Shanti Shanti Shanti.",FALSE,920,"AmitShah",2017-03-01 05:55:44,FALSE,"836816167662673920","836817209347407872","1447949844","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",375,FALSE,FALSE,NA,NA
"Deeply saddened by the sad demise of Taarak Mehta,an eminent writer &amp;humorist. My heartfelt condolences to his family &amp; countless followers.",FALSE,1805,NA,2017-03-01 05:51:36,FALSE,NA,"836816167662673920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",541,FALSE,FALSE,NA,NA
"Great enthusiasm for BJP among people in Manipur. Did pad yatra to campaign for Shri Y Erabot, our candidate from W<U+2026> https://t.co/1tbPq29s6S",FALSE,2021,NA,2017-03-01 05:29:44,TRUE,NA,"836810664471576582",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",554,FALSE,FALSE,NA,NA
"Few more pictures of public meeting in Moirang (Manipur). https://t.co/JcyCV677wj",FALSE,1316,NA,2017-02-28 15:13:54,FALSE,NA,"836595288894767104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",398,FALSE,FALSE,NA,NA
"We will also encourage organic farming in the state<U+2019>s hills, which has the potential to raise farmer<U+2019>s income by 7-8 times.",FALSE,560,"AmitShah",2017-02-28 13:23:42,FALSE,"836567457678635009","836567555670228992","1447949844","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",251,FALSE,FALSE,NA,NA
"If BJP forms government in the state, it will put Manipur on the global tourism map, which will create numerous jobs for the state<U+2019>s youth.",FALSE,595,"AmitShah",2017-02-28 13:23:19,FALSE,"836567368931377152","836567457678635009","1447949844","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",243,FALSE,FALSE,NA,NA
"After implementation of Food Security Bill, Manipur gets 1.51Lakh tonne of food grains/year but it does not reach the deserving in the state",FALSE,1497,NA,2017-02-28 13:22:58,FALSE,NA,"836567368931377152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",425,FALSE,FALSE,NA,NA
"The states in NE are lagging behind because funds sent by the central government over the years, for various projects have been embezzled.",FALSE,440,"AmitShah",2017-02-28 13:21:27,FALSE,"836566904915525634","836566988226969600","1447949844","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",217,FALSE,FALSE,NA,NA
"Manipur has failed to develop even 70 years after Independence despite being ruled by one individual and one party<U+2026> https://t.co/766WIKt1B1",FALSE,1169,NA,2017-02-28 13:21:07,TRUE,NA,"836566904915525634",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",377,FALSE,FALSE,NA,NA
"How one can expect Ibobi government to work for the people, which shamelessly siphons off the money meant for the welfare of poor.",FALSE,557,"AmitShah",2017-02-28 09:48:36,FALSE,"836513193551872001","836513421533331456","1447949844","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",266,FALSE,FALSE,NA,NA
"Kangpokpi,Manipur: Congress government in Manipur is a epitome of Corruption,CM Ibobi has not done work worth even<U+2026> https://t.co/HVSexlAP73",FALSE,1564,NA,2017-02-28 09:47:41,TRUE,NA,"836513193551872001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",419,FALSE,FALSE,NA,NA
"Congratulations to @JituRai and @HeenaSidhu10 for their superb performance in ISSF WC. Proud moment. Best wishes for your future endeavours.",FALSE,1494,NA,2017-02-28 08:07:23,FALSE,NA,"836487951307714561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",417,FALSE,FALSE,NA,NA
"<U+092E><U+0941><U+0917><U+0932><U+0938><U+0930><U+093E><U+092F> <U+091C><U+0928><U+0938><U+092D><U+093E>: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0936><U+093E><U+0938><U+093F><U+0924> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+091C><U+0939><U+093E><U+0902> <U+0935><U+093F><U+0915><U+093E><U+0938> <U+0915><U+0940> <U+0928><U+093F><U+0924> <U+0928><U+0908> <U+0915><U+0939><U+093E><U+0928><U+0940> <U+0932><U+093F><U+0916> <U+0930><U+0939><U+0947> <U+0939><U+0948><U+0902>,<U+0935><U+0939><U+0940><U+0902> <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+0935><U+093F><U+0915><U+093E><U+0938> <U+092E><U+0947><U+0902> <U+0906><U+0917><U+0947> <U+092C><U+0922><U+093C><U+0928><U+0947> <U+0915><U+0947> <U+092C><U+2026> https://t.co/5MTGq2Sk1b",FALSE,1645,NA,2017-02-27 14:57:59,TRUE,NA,"836228895628214272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",497,FALSE,FALSE,NA,NA
"<U+092B><U+0947><U+092B><U+0928><U+093E> (<U+092C><U+0932><U+093F><U+092F><U+093E>) <U+092E><U+0947><U+0902> <U+091C><U+0928><U+0938><U+092D><U+093E> <U+0915><U+094B> <U+0938><U+0902><U+092C><U+094B><U+0927><U+093F><U+0924> <U+0915><U+093F><U+092F><U+093E> <U+0964> https://t.co/SgUBQNFBY0",FALSE,1746,NA,2017-02-27 12:03:29,FALSE,NA,"836184982271873028",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",449,FALSE,FALSE,NA,NA
