"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @BJP4Manipur: How can a govt that failed to even deliver water ask for the people's votes or question #BJP? They've failed completely. @<U+2026>"	FALSE	0	NA	2017-02-26 06:38:52	FALSE	NA	"835740901704101888"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rajinde57748157"	13	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: How can a govt that failed to even deliver water ask for the people's votes or question #BJP? They've failed completely. @<U+2026>"	FALSE	0	NA	2017-02-26 06:38:40	FALSE	NA	"835740851393429504"	NA	"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>"	"Amberat44"	13	TRUE	FALSE	NA	NA
"RT @AditiTwt: <U+090A><U+0928><U+093E> <U+0915><U+0947> <U+0926><U+0932><U+093F><U+0924><U+094B><U+0902> <U+0928><U+0947> <U+092A><U+0902><U+091A><U+093E><U+092F><U+0924> <U+091A><U+0941><U+0928><U+093E><U+0935> <U+092E><U+0947><U+0902> <U+092C><U+0940><U+091C><U+0947><U+092A><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0924><U+093E><U+092F><U+093E> https://t.co/czKuYro7Wd #bjp #dalit #gujarat #una"	FALSE	0	NA	2017-02-26 06:38:35	FALSE	NA	"835740827204874242"	NA	"<a href=\"http://www.newsloose.com\" rel=\"nofollow\">NLtweetshweta</a>"	"IsShweta"	1	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: Schedule of public meetings of Shri @ShahnawazBJP in #Manipur. Come out and support #BJP for 100% Development. https://t.c<U+2026>"	FALSE	0	NA	2017-02-26 06:38:29	FALSE	NA	"835740804593385476"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sharma_brijpal"	9	TRUE	FALSE	NA	NA
"RT @siddha9: <U+090A><U+0928><U+093E> <U+0915><U+0947> <U+0926><U+0932><U+093F><U+0924><U+094B><U+0902> <U+0928><U+0947> <U+092A><U+0902><U+091A><U+093E><U+092F><U+0924> <U+091A><U+0941><U+0928><U+093E><U+0935> <U+092E><U+0947><U+0902> <U+092C><U+0940><U+091C><U+0947><U+092A><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0924><U+093E><U+092F><U+093E> https://t.co/y4uyxPaHkH #bjp #dalit #gujarat #una"	FALSE	0	NA	2017-02-26 06:38:27	FALSE	NA	"835740797031034880"	NA	"<a href=\"http://www.newsloose.com\" rel=\"nofollow\">NLtweetshweta</a>"	"IsShweta"	1	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: Schedule of public meetings of Shri @ShahnawazBJP in #Manipur. Come out and support #BJP for 100% Development. https://t.c<U+2026>"	FALSE	0	NA	2017-02-26 06:38:19	FALSE	NA	"835740759932428289"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"molu_saurav"	9	TRUE	FALSE	NA	NA
"RT @rakeshdubey29: <U+091C><U+093E><U+0924><U+093F><U+0935><U+093E><U+0926> <U+0915><U+0947> <U+0926><U+0932><U+0926><U+0932> <U+092E><U+0947><U+0902> <U+092A><U+0921><U+093C>
<U+0930><U+0939><U+0947> <U+091C><U+0928><U+094D><U+092E> <U+0938><U+0947> <U+091C><U+094B> <U+0932><U+092E><U+094D><U+092A><U+091F> <U+0939><U+0948><U+0902>
<U+0917><U+0941><U+0902><U+0921><U+0947>-<U+092C><U+0926><U+092E><U+093E><U+0936><U+094B><U+0902> <U+0915><U+0940> <U+0938><U+0924><U+094D><U+0924><U+093E>
<U+092D><U+0930><U+0947> <U+0939><U+0941><U+090F> <U+0926><U+0947><U+0916><U+094B> <U+092E><U+0941><U+0901><U+0939><U+092B><U+091F> <U+0939><U+0948><U+0902>

<U+0906><U+0928><U+0947> <U+0926><U+094B> #BJP <U+0915><U+094B> <U+092B><U+093F><U+0930>,
<U+0917><U+0941><U+0902><U+2026>"	FALSE	0	NA	2017-02-26 06:38:08	FALSE	NA	"835740714835177472"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rimjhim97"	86	TRUE	FALSE	NA	NA
"RT @gafoora850: <U+092D><U+093E><U+0921><U+093C><U+0947> <U+092A><U+0930> <U+092C><U+0941><U+0932><U+093E><U+0908> <U+0917><U+092F><U+0940> <U+092D><U+0940><U+0921><U+093C> <U+0915><U+094B> <U+092A><U+0948><U+0938><U+0947>/<U+092D><U+0940><U+0916> <U+092C><U+093E><U+091F><U+0924><U+0947> <U+0939><U+0941><U+090F> #BJP <U+0915><U+0947> <U+0928><U+0947><U+0924><U+093E><U+0964> <U+0924><U+0938><U+094D><U+0935><U+0940><U+0930> #<U+092F><U+0942><U+092A><U+0940> <U+0915><U+0947> <U+092C><U+093E><U+0917><U+092A><U+0924> <U+0915><U+0940> <U+0939><U+0948> https://t.co/G8HIvmN5ld"	FALSE	0	NA	2017-02-26 06:37:26	FALSE	NA	"835740540041842688"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sudhirgoel11"	33	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: Schedule of public meetings of Shri @ShahnawazBJP in #Manipur. Come out and support #BJP for 100% Development. https://t.c<U+2026>"	FALSE	0	NA	2017-02-26 06:37:14	FALSE	NA	"835740487118024704"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"anuragsinha_10"	9	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: Schedule of public meetings of Shri @ShahnawazBJP in #Manipur. Come out and support #BJP for 100% Development. https://t.c<U+2026>"	FALSE	0	NA	2017-02-26 06:37:03	FALSE	NA	"835740441358262272"	NA	"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>"	"Amberat44"	9	TRUE	FALSE	NA	NA
"RT @annavetticad: &amp; my piece on #BJP trolls invading discussions on Hindi cinema: There r no \"#HIndu actors\" &amp; \"#Muslim actors\", pls! https<U+2026>"	FALSE	0	NA	2017-02-26 06:36:48	FALSE	NA	"835740380591177728"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"im_integrator"	12	TRUE	FALSE	NA	NA
"RT @BJP4Manipur: How can a govt that failed to even deliver water ask for the people's votes or question #BJP? They've failed completely. @<U+2026>"	FALSE	0	NA	2017-02-26 06:36:37	FALSE	NA	"835740335372382208"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"gupta_abhi96"	13	TRUE	FALSE	NA	NA
