"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"<U+091B><U+0920><U+0947> <U+091A><U+0930><U+0923> <U+092E><U+0947><U+0902> <U+092C><U+0940><U+090F><U+0938><U+092A><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0924><U+093E><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0909><U+0924><U+094D><U+0938><U+093E><U+0939><U+093F><U+0924> <U+0939><U+0948><U+0964>
@BspUp2017 @BehanJi4CM @paswan_suresh @DalitLiveMat<U+2026> https://t.co/Echjye8qJS",FALSE,0,NA,2017-03-02 07:46:54,TRUE,NA,"837207572629315586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DohareyShiv",0,FALSE,FALSE,NA,NA
"@DrSnehal4 @BspUp2017 i love you",FALSE,0,"BspUp2017",2017-03-02 07:45:58,FALSE,"836921750742953984","837207338847186944","709365558051876865","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MPaudwal",0,FALSE,FALSE,NA,NA
"RT @BspUp2017: <U+0917><U+0930><U+0940><U+092C> <U+0915><U+093F><U+0938><U+093E><U+0928><U+094B> <U+0915><U+093E> <U+090F><U+0915> <U+0932><U+093E><U+0916> <U+0924><U+0915> <U+0915><U+093E> <U+0915><U+0930><U+094D><U+091C> <U+092E><U+093E><U+092B><U+093C>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>...

#BSP #MayawatiNextUPCM https://t.co/JuMgDVK0oZ",FALSE,0,NA,2017-03-02 07:45:44,FALSE,NA,"837207280869203968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrSnehal4",41,TRUE,FALSE,NA,NA
"RT @noor_islam_khan: @BspUp2017 @AmbedkarCaravan 
#BSP <U+0915><U+094B> <U+091B><U+093E><U+0928><U+0947>  <U+0926><U+094B>
#<U+092C><U+0939><U+0928><U+091C><U+0940> <U+0915><U+094B> <U+0906><U+0928><U+0947> <U+0926><U+094B>
Noor ul islam khan https://t.co/hPA2VWuI85",FALSE,0,NA,2017-03-02 07:45:05,FALSE,NA,"837207115034996737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DohareyShiv",25,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+0905><U+0916><U+0932><U+093E><U+0915> <U+0915><U+094B> <U+0907><U+0902><U+0938><U+093E><U+092B> <U+0926><U+093F><U+0932><U+093E><U+0928><U+0947> <U+0915><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>.

#BSP #MayawatiNextUPCM
6/n https://t.co/VRibx4HTOx",FALSE,0,NA,2017-03-02 07:44:36,FALSE,NA,"837206994234847232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SNZJSR",1,TRUE,FALSE,NA,NA
"RT @NewsX: Centre discriminating against minorities, says Mayawati
@BspUp2017 @BJP4India @RSSorg
https://t.co/zyzdnXI9NT",FALSE,0,NA,2017-03-02 07:44:02,FALSE,NA,"837206851984949248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shivaprasad100",14,TRUE,FALSE,NA,NA
"@noor_islam_khan @BspUp2017 @AmbedkarCaravan <U+0906><U+091C> <U+0924><U+0942> <U+092D><U+0940> <U+091C><U+0940><U+0924><U+0932><U+0947><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0086>",FALSE,0,"noor_islam_khan",2017-03-02 07:43:45,FALSE,"836865216914804737","837206780358852608","236468594","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrollPoliticsof",0,FALSE,FALSE,NA,NA
"@ceoup -For Information &amp; Necessary Action Please. @BspUp2017",FALSE,0,"BspUp2017",2017-03-02 07:43:44,FALSE,"837193963635269632","837206776323825664","709365558051876865","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Uppolice",0,FALSE,FALSE,NA,NA
"RT @BspUp2017: HDFC, ICICI, Axis Bank to charge at least Rs 150 after 4 free transactions a month. 
#BSP #MayawatiNextUPCM #<U+092E><U+0939><U+0902><U+0917><U+093E><U+0908>_<U+0921><U+093E><U+092F><U+0928> htt<U+2026>",FALSE,0,NA,2017-03-02 07:43:26,FALSE,NA,"837206699064832001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shivaprasad100",14,TRUE,FALSE,NA,NA
"@MayawatiUp confident of coming back to power #UttarPradesh @BspUp2017 @SudhinBhadoria @jarariya91 @AmbedkarCaravan https://t.co/8KJpiDLepj",FALSE,0,"MayawatiUp",2017-03-02 07:42:10,FALSE,NA,"837206379483914240","739104061065039872","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShuklaRaghav",0,FALSE,FALSE,NA,NA
"RT @advosiddhu: #<U+0915><U+093E><U+0902><U+0921>_<U+092C><U+094B><U+0932><U+0924><U+093E>_<U+0939><U+0948>
#<U+0926><U+0902><U+0917><U+0947>_<U+092C><U+094B><U+0932><U+0924><U+0947>_<U+0939><U+0948>
#<U+0939><U+0924><U+094D><U+092F><U+093E><U+0930><U+0947>_<U+092C><U+094B><U+0932><U+0924><U+0947>_<U+0939><U+0948>
#<U+091C><U+093F><U+092F><U+093E><U+090A><U+0932>_<U+0924><U+0947><U+0930><U+0940>_<U+0915><U+093C><U+0941><U+0930><U+094D><U+092C><U+093E><U+0928><U+0940>_<U+0915><U+093E>_<U+092C><U+0926><U+0932><U+093E>_<U+0939><U+094B><U+0917><U+093E>
#<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>
@BspUp2017 @invincisa<U+2026>",FALSE,0,NA,2017-03-02 07:41:13,FALSE,NA,"837206142249918464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Msingh1288",13,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+0905><U+0902><U+092C><U+093E><U+0928><U+0940> <U+0915><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0938><U+0947> <U+092C><U+091A><U+093E><U+0928><U+0947> <U+0915><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>.

#BSP #MayawatiNextUPCM
2/n https://t.co/dtuPSdazd4",FALSE,0,NA,2017-03-02 07:39:40,FALSE,NA,"837205752058101760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shivaprasad100",4,TRUE,FALSE,NA,NA
"RT @gaurav26rie: Abvp <U+0915><U+0947> <U+0917><U+0941><U+0902><U+0921><U+0947> <U+0915><U+0940> <U+0926><U+093E><U+0926><U+093E><U+0917><U+093F><U+0930><U+0940> @sanjayuvacha @AmbedkarCaravan @ndtvindia @BspUp2017 https://t.co/sEn56BOidb",FALSE,0,NA,2017-03-02 07:39:35,FALSE,NA,"837205729211711489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mooknayak2",64,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+092E><U+0927><U+0941><U+0930><U+093E> <U+0915><U+093E><U+0902><U+0921> <U+0928><U+093E> <U+0926><U+094B><U+0939><U+0930><U+093E><U+0928><U+0947> <U+0926><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>.

#BSP #MayawatiNextUPCM
4/n https://t.co/Sl60BzsNUB",FALSE,0,NA,2017-03-02 07:39:27,FALSE,NA,"837205696424853504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",5,TRUE,FALSE,NA,NA
"RT @BspUp2017: #RohithVemula <U+0915><U+0940> <U+0938><U+0939><U+093E><U+0926><U+0924> <U+092C><U+0930><U+094D><U+092C><U+093E><U+0926> <U+0928> <U+091C><U+093E><U+0928><U+0947> <U+0926><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B> #BSP 

#JusticeForRohith #BJPKilledRohith https://t.co/kuqCm1JJEb",FALSE,0,NA,2017-03-02 07:38:27,FALSE,NA,"837205446767312896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",10,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+092C><U+0947><U+091F><U+093F><U+092F><U+094B><U+0902> <U+0915><U+094B> <U+091C><U+093E><U+0938><U+0942><U+0938><U+0940> <U+0938><U+0947> <U+092C><U+091A><U+093E><U+0928><U+0947> <U+0915><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>

#BSP #Mayawati https://t.co/KjU2Oxc6ne",FALSE,0,NA,2017-03-02 07:38:24,FALSE,NA,"837205432099831808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",8,TRUE,FALSE,NA,NA
"RT @advosiddhu: #<U+0915><U+093E><U+0902><U+0921>_<U+092C><U+094B><U+0932><U+0924><U+093E>_<U+0939><U+0948>
#<U+0926><U+0902><U+0917><U+0947>_<U+092C><U+094B><U+0932><U+0924><U+0947>_<U+0939><U+0948>
#<U+0939><U+0924><U+094D><U+092F><U+093E><U+0930><U+0947>_<U+092C><U+094B><U+0932><U+0924><U+0947>_<U+0939><U+0948>
#<U+091C><U+093F><U+092F><U+093E><U+090A><U+0932>_<U+0924><U+0947><U+0930><U+0940>_<U+0915><U+093C><U+0941><U+0930><U+094D><U+092C><U+093E><U+0928><U+0940>_<U+0915><U+093E>_<U+092C><U+0926><U+0932><U+093E>_<U+0939><U+094B><U+0917><U+093E>
#<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>
@BspUp2017 @invincisa<U+2026>",FALSE,0,NA,2017-03-02 07:38:20,FALSE,NA,"837205415804960769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",13,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+092A><U+0942><U+0930><U+094D><U+0935><U+093E><U+0902><U+091A><U+0932> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+092C><U+0928><U+093E><U+0928><U+0947> <U+0915><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>

#BSP #MayawatiNextUPCM
1/n https://t.co/Kutld2jmm2",FALSE,0,NA,2017-03-02 07:38:12,FALSE,NA,"837205383613661184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",10,TRUE,FALSE,NA,NA
"RT @BspUp2017: <U+0905><U+0921><U+093E><U+0928><U+0940> <U+0915><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0938><U+0947> <U+092C><U+091A><U+093E><U+0928><U+0947> <U+0915><U+094B>, #<U+092C><U+0939><U+0928>_<U+091C><U+0940>_<U+0915><U+094B>_<U+0906><U+0928><U+0947>_<U+0926><U+094B>.

#BSP #MayawatiNextUPCM
3/n https://t.co/74nPXBXFNB",FALSE,0,NA,2017-03-02 07:38:08,FALSE,NA,"837205366190530560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RahulGa93819333",6,TRUE,FALSE,NA,NA
"RT @WeUttarPradesh: <U+092E><U+093E><U+092F><U+093E><U+0935><U+0924><U+0940> <U+0915><U+0940> <U+091A><U+0902><U+0926><U+094C><U+0932><U+0940> <U+0914><U+0930> <U+092D><U+0926><U+094B><U+0939><U+0940> <U+092E><U+0947><U+0902> <U+091A><U+0941><U+0928><U+093E><U+0935><U+0940> <U+091C><U+0928><U+0938><U+092D><U+093E> <U+0906><U+091C>! @BspUp2017 

https://t.co/XMUNrs3QNh",FALSE,0,NA,2017-03-02 07:37:31,FALSE,NA,"837205210892161026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DalitSamajIndia",21,TRUE,FALSE,NA,NA
