"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @AnupamkPandey: It's \"BJP vs BSP\" in \"Western UP\". On few seats, \"It's Triangular\". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>"	FALSE	0	NA	"2017-02-07 06:34:06"	FALSE	NA	828854332686602240	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rs_arya"	13	TRUE	FALSE	NA	NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near

#UPelections2017 Nobel Pr<U+2026>"	FALSE	0	NA	"2017-02-07 06:34:03"	FALSE	NA	828854316333150208	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"jawahardas1"	10	TRUE	FALSE	NA	NA
"RT @SirJadeja: #SaveUPfromBJP As #UP Is Underdeveloped Because #BJP Was In Power For Only 3 Years In Last 69 Years.

RIP Logic! #UPFight #U<U+2026>"	FALSE	0	NA	"2017-02-07 06:33:30"	FALSE	NA	828854178852270080	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vikas1689"	248	TRUE	FALSE	NA	NA
"@yadavakhilesh As @iamsrk &amp; @DimpleYadav10 as @TheMahiraKhan  latest hit in @UPElections2017 .Great comedy of Islamists Videos playing in UP"	FALSE	0	"yadavakhilesh"	"2017-02-07 06:33:01"	FALSE	NA	828854059851460608	57948579	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"tantra341"	0	FALSE	FALSE	NA	NA
"RT @AnupamkPandey: It's \"BJP vs BSP\" in \"Western UP\". On few seats, \"It's Triangular\". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>"	FALSE	0	NA	"2017-02-07 06:32:44"	FALSE	NA	828853988930023424	NA	"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"	"RockzzzAshwin"	13	TRUE	FALSE	NA	NA
"RT @Suyash75: Prof. Alok Kumar Rai of Varanasi says social arithmetic in BJP's favour in #upelections2017. BJP voteshare could be as high a<U+2026>"	FALSE	0	NA	"2017-02-07 06:32:39"	FALSE	NA	828853963931975680	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"preetamks"	33	TRUE	FALSE	NA	NA
"RT @SirJadeja: #SaveUPfromBJP As #UP Is Underdeveloped Because #BJP Was In Power For Only 3 Years In Last 69 Years.

RIP Logic! #UPFight #U<U+2026>"	FALSE	0	NA	"2017-02-07 06:32:38"	FALSE	NA	828853963306971136	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"MANICHOUDHARY58"	248	TRUE	FALSE	NA	NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near

#UPelections2017 Nobel Pr<U+2026>"	FALSE	0	NA	"2017-02-07 06:32:25"	FALSE	NA	828853907551985664	NA	"<a href=\"https://peejayapp.com\" rel=\"nofollow\">PeejayApp</a>"	"TweetCelab"	10	TRUE	FALSE	NA	NA
"RT @AnupamkPandey: It's \"BJP vs BSP\" in \"Western UP\". On few seats, \"It's Triangular\". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>"	FALSE	0	NA	"2017-02-07 06:31:48"	FALSE	NA	828853750240595968	NA	"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>"	"ipratshukla"	13	TRUE	FALSE	NA	NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near

#UPelections2017 Nobel Pr<U+2026>"	FALSE	0	NA	"2017-02-07 06:31:34"	FALSE	NA	828853693554515968	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Real_SwamiOm"	10	TRUE	FALSE	NA	NA
