text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @AnupamkPandey: It's ""BJP vs BSP"" in ""Western UP"". On few seats, ""It's Triangular"". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>",FALSE,0,NA,07/02/17 6:34,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rs_arya,13,TRUE,FALSE,NA,NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near#UPelections2017 Nobel Pr<U+2026>",FALSE,0,NA,07/02/17 6:34,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jawahardas1,10,TRUE,FALSE,NA,NA
"RT @SirJadeja: #SaveUPfromBJP As #UP Is Underdeveloped Because #BJP Was In Power For Only 3 Years In Last 69 Years.RIP Logic! #UPFight #U<U+2026>",FALSE,0,NA,07/02/17 6:33,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vikas1689,248,TRUE,FALSE,NA,NA
@yadavakhilesh As @iamsrk &amp; @DimpleYadav10 as @TheMahiraKhan  latest hit in @UPElections2017 .Great comedy of Islamists Videos playing in UP,FALSE,0,yadavakhilesh,07/02/17 6:33,FALSE,NA,8.28854E+17,57948579,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tantra341,0,FALSE,FALSE,NA,NA
"RT @AnupamkPandey: It's ""BJP vs BSP"" in ""Western UP"". On few seats, ""It's Triangular"". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>",FALSE,0,NA,07/02/17 6:32,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RockzzzAshwin,13,TRUE,FALSE,NA,NA
RT @Suyash75: Prof. Alok Kumar Rai of Varanasi says social arithmetic in BJP's favour in #upelections2017. BJP voteshare could be as high a<U+2026>,FALSE,0,NA,07/02/17 6:32,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",preetamks,33,TRUE,FALSE,NA,NA
"RT @SirJadeja: #SaveUPfromBJP As #UP Is Underdeveloped Because #BJP Was In Power For Only 3 Years In Last 69 Years.RIP Logic! #UPFight #U<U+2026>",FALSE,0,NA,07/02/17 6:32,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MANICHOUDHARY58,248,TRUE,FALSE,NA,NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near#UPelections2017 Nobel Pr<U+2026>",FALSE,0,NA,07/02/17 6:32,FALSE,NA,8.28854E+17,NA,"<a href=""https://peejayapp.com"" rel=""nofollow"">PeejayApp</a>",TweetCelab,10,TRUE,FALSE,NA,NA
"RT @AnupamkPandey: It's ""BJP vs BSP"" in ""Western UP"". On few seats, ""It's Triangular"". Excellent Feedback after PM Modi Rallies #UPElection<U+2026>",FALSE,0,NA,07/02/17 6:31,FALSE,NA,8.28854E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",ipratshukla,13,TRUE,FALSE,NA,NA
"RT @SirJadeja: Maybe Award Wapasi Gangs Are Getting Armed Up By Stealing Others' Prizes As UP Elections Are Near#UPelections2017 Nobel Pr<U+2026>",FALSE,0,NA,07/02/17 6:31,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Real_SwamiOm,10,TRUE,FALSE,NA,NA
"Women singing, dancing at Mayawati rally in Ghaziabad #upelections2017 https://t.co/PDpKMUAwAH",FALSE,0,NA,07/02/17 6:31,FALSE,NA,8.28854E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AzaanJavaid,0,FALSE,FALSE,NA,NA
