"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @sky08081994: #BoycottABVP
#Vote4Cycle
#kaamboltahai
#UP_<U+0915><U+094B>_<U+092F><U+0947>_<U+0938><U+093E><U+0925>_<U+092A><U+0938><U+0902><U+0926>_<U+0939><U+0948>
Boycott BJP",FALSE,0,NA,2017-02-27 09:09:49,FALSE,NA,"836141275141271552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SirfAkhilesh",15,TRUE,FALSE,NA,NA
"@yadavakhilesh <U+0935><U+093F><U+091C><U+092F> <U+092A><U+0925> <U+092A><U+0930> <U+0905><U+0917><U+094D><U+0930><U+0938><U+0930> <U+0938><U+093E><U+0907><U+0915><U+093F><U+0932>...#kaamboltahai https://t.co/uWsvcEkN78",FALSE,0,"yadavakhilesh",2017-02-27 09:09:32,FALSE,NA,"836141202751750144","57948579","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A14111889",0,FALSE,FALSE,NA,NA
"<U+0935><U+093F><U+0915><U+093E><U+0938> <U+0915><U+0940> <U+0917><U+0924><U+093F> <U+092C><U+0922><U+093C><U+093E><U+0928><U+093E> <U+0939><U+0948> <U+0924><U+094B> <U+0938><U+093E><U+0907><U+0915><U+093F><U+0932> <U+0915><U+093E> <U+092C><U+091F><U+0928> <U+0939><U+0940> <U+0926><U+092C><U+093E><U+0928><U+093E> <U+0939><U+0948> #Vote4Cycle #KaamBoltaHai https://t.co/yIwB6ahWun",FALSE,0,NA,2017-02-27 09:09:04,FALSE,NA,"836141086808498176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DasRahul88",0,FALSE,FALSE,NA,NA
"RT @AmolvKhodke: <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+092F><U+093E><U+0926><U+0935> <U+0915><U+093E> #KaamBoltaHai
<U+0939><U+092E> <U+0924><U+094B> <U+092C><U+093F><U+0928><U+093E> <U+0915><U+093E><U+092E> <U+0915><U+093E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948> 
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/Ry0Y5f70Ui",FALSE,0,NA,2017-02-27 09:08:58,FALSE,NA,"836141060783017984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shanmugam_18",86,TRUE,FALSE,NA,NA
"RT @viveikmishra: Hello #bahraich pls cast ur vote for the better future push the <ed><U+00A0><U+00BD><ed><U+00BA><U+00B2> button @yadavakhilesh @pankhuripathak #kaamboltahai",FALSE,0,NA,2017-02-27 09:08:24,FALSE,NA,"836140917337767937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssingh2223",5,TRUE,FALSE,NA,NA
"RT @confess2gaurav: #kaamboltahai <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/mIcknGxeAp",FALSE,0,NA,2017-02-27 09:07:53,FALSE,NA,"836140787926773760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DemocracyDevi",6,TRUE,FALSE,NA,NA
"RT @UPCM_Follower: <U+092A><U+0942><U+0930><U+0947> <U+0939><U+094B><U+0924><U+0947> <U+0935><U+093E><U+0926><U+0947>, <U+0905><U+092C> <U+0939><U+0948><U+0902> <U+0928><U+090F> <U+0907><U+0930><U+093E><U+0926><U+0947> | 

#KaamBoltaHai
#DimpleYadav
@yadavakhilesh 
#Vote4Cycle https://t.co/ouYrhGpw2C",FALSE,0,NA,2017-02-27 09:07:07,FALSE,NA,"836140595550777345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaiBhiAkhilesh",4,TRUE,FALSE,NA,NA
"RT @sky08081994: #BoycottABVP
#Vote4Cycle
#kaamboltahai
#UP_<U+0915><U+094B>_<U+092F><U+0947>_<U+0938><U+093E><U+0925>_<U+092A><U+0938><U+0902><U+0926>_<U+0939><U+0948>
Boycott BJP",FALSE,0,NA,2017-02-27 09:06:05,FALSE,NA,"836140335516565504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaiBhiAkhilesh",15,TRUE,FALSE,NA,NA
"https://t.co/wW30uz9RFq #UP<U+0938><U+0939><U+092E><U+0924>_BJP<U+092A><U+0942><U+0930><U+094D><U+0923><U+092C><U+0939><U+0941><U+092E><U+0924> #<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> #<U+091C><U+0940><U+0924>_<U+0930><U+0939><U+0940>_<U+092D><U+093E><U+091C><U+092A><U+093E> #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> #kaamboltahai #UttarPradesh #Vote4Cycle #BJP",FALSE,0,NA,2017-02-27 09:04:59,FALSE,NA,"836140057832669184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitkusaxena",0,FALSE,FALSE,NA,NA
"https://t.co/WBmAWVUP1Y #UP<U+0938><U+0939><U+092E><U+0924>_BJP<U+092A><U+0942><U+0930><U+094D><U+0923><U+092C><U+0939><U+0941><U+092E><U+0924> #<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> #<U+091C><U+0940><U+0924>_<U+0930><U+0939><U+0940>_<U+092D><U+093E><U+091C><U+092A><U+093E> #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> #kaamboltahai #Vote4Cycle #UttarPradesh #BJP",FALSE,0,NA,2017-02-27 09:03:03,FALSE,NA,"836139572010573824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitkusaxena",0,FALSE,FALSE,NA,NA
