"word","freq"
"kaamboltahai",6933
"upcm",2767
"akhilesh",2417
"phase",2285
"yadav",1534
"allahabad",995
"bahraich",993
"basti",989
"gonda",988
"faizabad",960
"balrampur",954
"amethi",889
"sultanpur",877
"httpsu",848
"ivoteforcycle",832
"hamirpur",831
"akhiu",830
"jhansi",830
"banda",829
"bareli",829
"chitrakoot",829
"kaushambi",829
"mahoba",829
"rae",829
"santu",775
"pradesh",632
"uttar",628
"uuu",585
"says",580
"sir",564
"roads",560
"even",559
"ivotecycle",539
"fit",537
"honourable",537
"humble",537
"reply",537
"trucks",537
"uub",534
"httpstcoinqoyvnp",530
"yadavs",494
"order",492
"law",491
"slogan",482
"debunking",478
"exposes",478
"situation",478
"voter",478
"uue",469
"uuuu",469
"lucknow",434
"uau",419
"ueuu",405
"kannauj",351
"kanpur",341
"etawah",339
"farrukhabad",338
"mainpuri",338
"sitapur",338
"uueue",316
"uufuueu",298
"follow",297
"ucu",282
"govt",280
"scam",279
"yadavu",258
"time",228
"upelection",225
"uuufuuu",224
"expressway",223
"ufueuu",219
"votecycle",213
"record",212
"ballia",207
"completed",207
"agralucknow",206
"laned",206
"rdphase",206
"uauduuuu",201
"uuuduu",198
"akhileshyadav",197
"uttarpradesh",185
"uttarpradeshpolls",183
"uuc",179
"court",162
"uuue",162
"uueueucubuuueuu",157
"high",155
"breaking",153
"ufuuauuueuufuuueuuufu",153
"crore",149
"hai",149
"response",149
"alleged",148
"seeks",148
"uuf",145
"namouuu",140
"ufuuauuubufuuueuuauuuduuu",138
"ufu",137
"world",134
"class",131
"uueu",130
"uauu",129
"kaamboltahaiu",128
"clinics",127
"eduaubdedubuceduaubdedubuc",127
"mohalla",127
"probe",127
"run",127
"voteuuucuuu",127
"httpstcoxweirkvoou",126
"amp",124
"uueuu",122
"udu",118
"upuuuufuueuuuuucuuu",116
"ups",115
"bridge",113
"httpstcoywhqku",113
"longest",113
"specimen",113
"turns",113
"cycle",108
"uuuue",108
"party",107
"samajwadi",107
"amethiu",104
