text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @NewsNationTV: #BMCPolls : Ahead of counting, both #ShivSena #BJP confident of getting majority 

https://t.co/p0wwHyvsUY",FALSE,0,NA,23-02-2017 01:57,FALSE,NA,8.34583E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhinavaawara,1,TRUE,FALSE,NA,NA
#Modiji  @narendramodi ;  appeals U  #BJP taking India forward   read it and pls share thanks https://t.co/6SwS5vnzVJ,FALSE,0,NA,23-02-2017 01:57,FALSE,NA,8.34583E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",elkay14,0,FALSE,FALSE,NA,NA
RT @yksingh26: @GauravPandhi In #chandigarh during MC elections #BJP volunteers were seen fooling people in slums by filling forms for allo…,FALSE,0,NA,23-02-2017 01:55,FALSE,NA,8.34582E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ATamariya,5,TRUE,FALSE,NA,NA
@Ace_Board_Gamer the protest marches and solidarity pouring in from across the country will show you.  #bjp rqd distrctn frm up #elections,FALSE,0,Ace_Board_Gamer,23-02-2017 01:53,FALSE,8.34579E+17,8.34582E+17,889273154,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",beralertalibosh,0,FALSE,FALSE,NA,NA
"RT @NewsNationTV: #UP polls: #BJP removes name of #VarunGandhi from list of star campaigners for sixth, seventh phase of elections 

https:…",FALSE,0,NA,23-02-2017 01:53,FALSE,NA,8.34582E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhinavaawara,1,TRUE,FALSE,NA,NA
RT @yksingh26: @GauravPandhi In #chandigarh during MC elections #BJP volunteers were seen fooling people in slums by filling forms for allo…,FALSE,0,NA,23-02-2017 01:53,FALSE,NA,8.34582E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GauravPandhi,5,TRUE,FALSE,NA,NA
RT @ranchor10: My request to @BJP4India n @narendramodi is dat jst like all opposition got 2gather~All #BJP ruled govt MUST cm out n gv thm…,FALSE,0,NA,23-02-2017 01:52,FALSE,NA,8.34582E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mithu796311,2,TRUE,FALSE,NA,NA
"RT @TodaysChanakya: #TCExitPoll   All India Tally (543 seats) 
#BJP 291 ± 14 Seats
#Cong 57 ± 9 Seats
#NDA 340 ±14 Seats
#UPA 70 ±9 Seats
O…",FALSE,0,NA,23-02-2017 01:51,FALSE,NA,8.34581E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Prateek78711983,2397,TRUE,FALSE,NA,NA
RT @ranchor10: My request to @BJP4India n @narendramodi is dat jst like all opposition got 2gather~All #BJP ruled govt MUST cm out n gv thm…,FALSE,0,NA,23-02-2017 01:51,FALSE,NA,8.34581E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LillyMaryPinto,2,TRUE,FALSE,NA,NA
"RT @saileenas: #BJP in #Bengal- Dilip Ghosh, a BJP leader of Salt Lake, was arrested for his involvement in an interstate baby trafficking…",FALSE,0,NA,23-02-2017 01:51,FALSE,NA,8.34581E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jayant_bhushan,87,TRUE,FALSE,NA,NA
"RT @abpnewstv: 'I broke into tears' after reading #RohitVemula's suicide letter: #VarunGandhi
#BJP #UPElection2017 
https://t.co/dS5O5aLQQ9…",FALSE,0,NA,23-02-2017 01:47,FALSE,NA,8.3458E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ajaykrsharma038,64,TRUE,FALSE,NA,NA
Good governance can lessen the burden of judiciary: Prime Minister Narendra Modi -… https://t.co/MefmLGeMJc #BJP… https://t.co/Tb7VVUdsmo,FALSE,0,NA,23-02-2017 01:39,TRUE,NA,8.34578E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NarendraModi1FC,0,FALSE,FALSE,NA,NA
"RT @sankrant: Kasab is a perfectly laid trap by #BJP. 
Expect seculars to walk right into it equating Pakistani terrorist Kasab with an ent…",FALSE,0,NA,23-02-2017 01:38,FALSE,NA,8.34578E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vivekashenoy,34,TRUE,FALSE,NA,NA
RT @bprerna: #RohitVemula's death also shows the true character of #BJP &amp; #ABVP. What saffronization of education looks like &amp; just how dan…,FALSE,0,NA,23-02-2017 01:36,FALSE,NA,8.34578E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BhaktoKaBaap,23,TRUE,FALSE,NA,NA
"RT @abpnewstv: 'I broke into tears' after reading #RohitVemula's suicide letter: #VarunGandhi
#BJP #UPElection2017 
https://t.co/dS5O5aLQQ9…",FALSE,0,NA,23-02-2017 01:34,FALSE,NA,8.34577E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",masood_lm,64,TRUE,FALSE,NA,NA
"RT @sankrant: Kasab is a perfectly laid trap by #BJP. 
Expect seculars to walk right into it equating Pakistani terrorist Kasab with an ent…",FALSE,0,NA,23-02-2017 01:34,FALSE,NA,8.34577E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sandith,34,TRUE,FALSE,NA,NA
Outside terror groups joining hands 2strike against #India Exactly d same way all opposition political parties join… https://t.co/1Zc1ZxbJvp,FALSE,0,NA,23-02-2017 01:33,TRUE,NA,8.34577E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ranchor10,0,FALSE,FALSE,NA,NA
"RT @kush07: Odisha Panchayat Elections 2017
#BJP makes massive Gains
#CONgiTards totally Decimated
Please share as #Presstitutes won't spea…",FALSE,0,NA,23-02-2017 01:32,FALSE,NA,8.34577E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kamleshtiwari90,51,TRUE,FALSE,NA,NA
"RT @sankrant: Kasab is a perfectly laid trap by #BJP. 
Expect seculars to walk right into it equating Pakistani terrorist Kasab with an ent…",FALSE,0,NA,23-02-2017 01:32,FALSE,NA,8.34577E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Puru_Tweet,34,TRUE,FALSE,NA,NA
"@Stupidosaur @bhupins5 We dont need US to screw India up, we have indigenous talent in Biggest KHAP panchayat #BJP",FALSE,0,Stupidosaur,23-02-2017 01:29,FALSE,8.34576E+17,8.34576E+17,307807275,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Snc_ibn_NNC,0,FALSE,FALSE,NA,NA
