"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Voting begins for phase 4 today 
#UPPOLLS 
#UPElections2017 
#RahulGandhi #AkhileshYadav 
#Congress #SamajwadiParty
https://t.co/2xplq7UWkH",FALSE,0,NA,2017-02-23 00:35:27,FALSE,NA,"834562279077269504",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","iamsmithaa",0,FALSE,FALSE,NA,NA
"RT @NewsX: #UPElections2017: #AmitShah coins new acronym ‘#KASAB’ during rally
@BspUp2017 #Congress #SamajwadiParty #BJP https://t.co/ggbQP…",FALSE,0,NA,2017-02-22 18:48:03,FALSE,NA,"834474855122747392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KantakKantak",4,TRUE,FALSE,NA,NA
"RT @NewsX: #UPElections2017: #AmitShah coins new acronym ‘#KASAB’ during rally
@BspUp2017 #Congress #SamajwadiParty #BJP https://t.co/ggbQP…",FALSE,0,NA,2017-02-22 18:19:54,FALSE,NA,"834467770469404684",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jpstanickkumar1",4,TRUE,FALSE,NA,NA
"RT @NewsX: #UPElections2017: #AmitShah coins new acronym ‘#KASAB’ during rally
@BspUp2017 #Congress #SamajwadiParty #BJP https://t.co/ggbQP…",FALSE,0,NA,2017-02-22 18:13:55,FALSE,NA,"834466262847672320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","savitha_rao",4,TRUE,FALSE,NA,NA
"RT @itsdipudude: Will you Vote for Samajwadi party??
#<U+0920><U+0930><U+0915><U+0940>_<U+0939><U+0948>_<U+092E><U+094B><U+0926><U+0940>_<U+0938><U+0930><U+0915><U+093E><U+0930> #UP<U+0915><U+093E><U+0938><U+092E><U+094D><U+092E><U+093E><U+0928>_<U+0915><U+092E><U+0932><U+0928><U+093F><U+0936><U+093E><U+0928> #<U+091A><U+0942><U+0930><U+0928><U+091B><U+093E><U+092A><U+0938><U+0930><U+0915><U+093E><U+0930> #SamajwadiParty #dimpleyadav #S…",FALSE,0,NA,2017-02-22 18:12:11,FALSE,NA,"834465828837875712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samvirus4",2,TRUE,FALSE,NA,NA
"RT @itsdipudude: Will you Vote for Samajwadi party??
#<U+0920><U+0930><U+0915><U+0940>_<U+0939><U+0948>_<U+092E><U+094B><U+0926><U+0940>_<U+0938><U+0930><U+0915><U+093E><U+0930> #UP<U+0915><U+093E><U+0938><U+092E><U+094D><U+092E><U+093E><U+0928>_<U+0915><U+092E><U+0932><U+0928><U+093F><U+0936><U+093E><U+0928> #<U+091A><U+0942><U+0930><U+0928><U+091B><U+093E><U+092A><U+0938><U+0930><U+0915><U+093E><U+0930> #SamajwadiParty #dimpleyadav #S…",FALSE,0,NA,2017-02-22 18:10:08,FALSE,NA,"834465309931294720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Inc4people",2,TRUE,FALSE,NA,NA
"RT @NewsX: #UPElections2017: #AmitShah coins new acronym ‘#KASAB’ during rally
@BspUp2017 #Congress #SamajwadiParty #BJP https://t.co/ggbQP…",FALSE,0,NA,2017-02-22 18:09:15,FALSE,NA,"834465090107695108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HindUnited",4,TRUE,FALSE,NA,NA
"Will you Vote for Samajwadi party??
#<U+0920><U+0930><U+0915><U+0940>_<U+0939><U+0948>_<U+092E><U+094B><U+0926><U+0940>_<U+0938><U+0930><U+0915><U+093E><U+0930> #UP<U+0915><U+093E><U+0938><U+092E><U+094D><U+092E><U+093E><U+0928>_<U+0915><U+092E><U+0932><U+0928><U+093F><U+0936><U+093E><U+0928> #<U+091A><U+0942><U+0930><U+0928><U+091B><U+093E><U+092A><U+0938><U+0930><U+0915><U+093E><U+0930> #SamajwadiParty #dimpleyadav #StatePolls",FALSE,3,NA,2017-02-22 18:08:58,FALSE,NA,"834465016199802880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itsdipudude",2,FALSE,FALSE,NA,NA
"#UPElections2017: #AmitShah coins new acronym ‘#KASAB’ during rally
@BspUp2017 #Congress #SamajwadiParty #BJP https://t.co/ggbQPNxKLl",FALSE,5,NA,2017-02-22 18:05:35,FALSE,NA,"834464167843160064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewsX",4,FALSE,FALSE,NA,NA
"RT @NewsRepublic_IN: #AkhileshYadav says alliance with #Congress was due to family feud in #SamajwadiParty https://t.co/K4ku5pAoF9",FALSE,0,NA,2017-02-22 17:46:22,FALSE,NA,"834459328904065025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vibinmca",1,TRUE,FALSE,NA,NA
