"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Today we voted for democracy, secularism and unity, please go out and vote for it #MyVoteCounts
#Vote4Cycle… https://t.co/hMKVGCtQYT",FALSE,0,NA,2017-02-27 04:58:48,TRUE,NA,"836078105802440704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","omar_m_khan",0,FALSE,FALSE,NA,NA
"RT @ndtv: #AssemblyElections2017 | Uttar Pradesh records 10.8% voter turnout till 9am in Phase 5 of #UPElection2017 

Updates: https://t.co…",FALSE,0,NA,2017-02-27 04:57:52,FALSE,NA,"836077868660711424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MandarSawant184",4,TRUE,FALSE,NA,NA
"RT @abpnewstv: LIVE l #UPElection2017: 11.8% voting in #Amethi
https://t.co/j6d9DGSi45 https://t.co/mUH8WEEjmV",FALSE,0,NA,2017-02-27 04:57:43,FALSE,NA,"836077831679442946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rathod63633574",2,TRUE,FALSE,NA,NA
"LIVE l #UPElection2017: 11.8% voting in #Amethi
https://t.co/MbXgjEKCha https://t.co/HI28olHU2b",FALSE,0,NA,2017-02-27 04:57:06,FALSE,NA,"836077675500482565",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnuragSason",0,FALSE,FALSE,NA,NA
"LIVE l #UPElection2017: 11.8% voting in #Amethi
https://t.co/j6d9DGSi45 https://t.co/mUH8WEEjmV",FALSE,5,NA,2017-02-27 04:56:56,FALSE,NA,"836077634035531776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abpnewstv",2,FALSE,FALSE,NA,NA
"RT @sachya2002: Answers for those who r asking why BJP hasn't given a single Muslim a ticket in #UPElection2017 https://t.co/bUyZbLdJtf",FALSE,0,NA,2017-02-27 04:56:52,FALSE,NA,"836077618575331328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmanTainguria22",835,TRUE,FALSE,NA,NA
"Track #Live | Uttar Pradesh enters phase 5 of polling https://t.co/nuU7SnmS8x #uppolls2017 #UPElection2017 https://t.co/EwcN2PICWn",FALSE,1,NA,2017-02-27 04:56:11,FALSE,NA,"836077446428504064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EconomicTimes",0,FALSE,FALSE,NA,NA
"@IndiaToday why is @RaGa showing #thullu ? Has he been shown one by public in #UPElection2017 this time and is practicing it?",FALSE,0,"IndiaToday",2017-02-27 04:52:52,FALSE,"836073850039373824","836076613011910656","19897138","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cruzeronmove",0,FALSE,FALSE,NA,NA
"Azad ji never followed Gandhi's non-violence path. He was from Allahabad, thats forces him to Tweet #UPElection2017 
https://t.co/m8QfOSJsCg",FALSE,2,NA,2017-02-27 04:51:37,FALSE,NA,"836076297323425792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdullah_0mar",0,FALSE,FALSE,NA,NA
"RT @abpnewstv: #UPElection2017:Given more electricity in #Diwali than in #Ramadan,says @yadavakhilesh in response to Modi's comment
https:/…",FALSE,0,NA,2017-02-27 04:51:10,FALSE,NA,"836076183523557381",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErParvej",19,TRUE,FALSE,NA,NA
