"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:21:06,FALSE,NA,"836461205782855680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","O1189999",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:20:29,FALSE,NA,"836461049092038656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gossipdatabase",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:20:08,FALSE,NA,"836460963104768001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArmchairPseph",19,TRUE,FALSE,NA,NA
"<U+0924><U+093E><U+0930> <U+091B><U+0942> <U+0915><U+0930> <U+0926><U+0947><U+0916><U+093F><U+092F><U+0947> <U+092C><U+093F><U+091C><U+0932><U+0940> <U+0906><U+0924><U+0940> <U+0939><U+0948> <U+0915><U+0947> <U+0928><U+0939><U+0940><U+0902>: @yadavakhilesh 

#UPElection2017 #uppolls2017 #<U+092F><U+0942><U+092A><U+0940> https://t.co/w6xceJp75x",FALSE,0,NA,2017-02-28 06:19:23,FALSE,NA,"836460772226134016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UPPolls2017",0,FALSE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:09:48,FALSE,NA,"836458361755316224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ItsManish_",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:06:29,FALSE,NA,"836457525537083392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItsAamAadmi",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:05:38,FALSE,NA,"836457314085285889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bohravishal07",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:04:48,FALSE,NA,"836457102629466113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaluDhyani",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 06:03:15,FALSE,NA,"836456713423306752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonijeetu99",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:59:45,FALSE,NA,"836455830828564480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UturnSarkar",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:57:35,FALSE,NA,"836455285820633088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","420gsc",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:54:31,FALSE,NA,"836454514022617088",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","iAmitKushwaha",19,TRUE,FALSE,NA,NA
"RT @MijaajNews: #uppolls2017 voting for fifth phase #assembly #elections till 1 pm is 38.72%",FALSE,0,NA,2017-02-28 05:53:56,FALSE,NA,"836454368173944832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalavShah56",3,TRUE,FALSE,NA,NA
"Always expect this buffoon to utter nonsense amid an election only to alienate voters. Hopefully we'll see no more<U+2026> https://t.co/dk3jaQW5x8",FALSE,0,NA,2017-02-28 05:53:18,TRUE,NA,"836454208043900932",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akg1249",0,FALSE,FALSE,NA,NA
"Article 370, Surgical Strike, Ram-Mandir, Demonetisation, Kabaristaan,  Shmashaan, Now Bomb Hoax  Modi s many Avata<U+2026> https://t.co/ITUXe8lMM5",FALSE,1,NA,2017-02-28 05:52:00,TRUE,NA,"836453880233787393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arunmsk",3,FALSE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:49:18,FALSE,NA,"836453203008901120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitinRaut2",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:48:58,FALSE,NA,"836453117080322048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anubhavgautam95",19,TRUE,FALSE,NA,NA
"RT @abpnewstv: #Ghoshnapatra: Guns must be distributed for defence, says #YogiAdityanath 
@BJP4India @BJP4UP #uppolls2017 #uppolls 
https:/<U+2026>",FALSE,0,NA,2017-02-28 05:47:04,FALSE,NA,"836452641697894401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rakeshjaiswal1",19,TRUE,FALSE,NA,NA
